ID,PREDICTION
15411,0
15412,0
15413,0
15414,0
15415,1
15416,1
15417,0
15418,1
15419,0
15420,1
15421,1
15422,1
15423,1
15424,1
15425,1
15426,1
15427,0
15428,1
15429,0
15430,1
15431,0
15432,0
15433,0
15434,0
15435,1
15436,0
15437,1
15438,0
15439,0
15440,0
15441,1
15442,1
15443,0
15444,0
15445,1
15446,0
15447,0
15448,1
15449,0
15450,1
15451,0
15452,1
15453,0
15454,0
15455,0
15456,0
15457,1
15458,0
15459,0
15460,1
15461,1
15462,0
15463,1
15464,0
15465,0
15466,0
15467,1
15468,1
15469,1
15470,1
15471,0
15472,0
15473,0
15474,0
15475,0
15476,1
15477,0
15478,0
15479,1
15480,1
15481,0
15482,0
15483,0
15484,0
15485,1
15486,0
15487,0
15488,0
15489,0
15490,0
15491,0
15492,0
15493,1
15494,0
15495,0
15496,1
15497,0
15498,0
15499,0
15500,0
15501,1
15502,1
15503,0
15504,0
15505,0
15506,0
15507,0
15508,1
15509,1
15510,0
15511,0
15512,0
15513,1
15514,1
15515,0
15516,0
15517,0
15518,0
15519,0
15520,1
15521,1
15522,0
15523,0
15524,0
15525,1
15526,0
15527,0
15528,0
15529,1
15530,1
15531,0
15532,1
15533,0
15534,0
15535,1
15536,1
15537,1
15538,0
15539,1
15540,1
15541,0
15542,1
15543,1
15544,1
15545,1
15546,0
15547,0
15548,1
15549,1
15550,1
15551,0
15552,0
15553,0
15554,1
15555,0
15556,0
15557,0
15558,0
15559,0
15560,0
15561,0
15562,1
15563,0
15564,1
15565,0
15566,0
15567,0
15568,0
15569,1
15570,1
15571,0
15572,1
15573,1
15574,0
15575,0
15576,1
15577,0
15578,0
15579,0
15580,0
15581,0
15582,0
15583,1
15584,0
15585,0
15586,0
15587,0
15588,1
15589,1
15590,0
15591,0
15592,1
15593,1
15594,0
15595,0
15596,0
15597,0
15598,1
15599,1
15600,1
15601,0
15602,0
15603,1
15604,0
15605,1
15606,1
15607,0
15608,0
15609,1
15610,1
15611,0
15612,1
15613,1
15614,1
15615,0
15616,1
15617,0
15618,1
15619,0
15620,1
15621,1
15622,0
15623,0
15624,1
15625,0
15626,0
15627,0
15628,0
15629,0
15630,1
15631,0
15632,0
15633,0
15634,0
15635,0
15636,1
15637,0
15638,0
15639,0
15640,1
15641,1
15642,0
15643,0
15644,0
15645,1
15646,1
15647,0
15648,0
15649,1
15650,1
15651,1
15652,0
15653,0
15654,0
15655,0
15656,0
15657,0
15658,0
15659,0
15660,0
15661,1
15662,0
15663,1
15664,1
15665,1
15666,0
15667,0
15668,0
15669,0
15670,0
15671,1
15672,0
15673,0
15674,1
15675,0
15676,0
15677,0
15678,0
15679,0
15680,1
15681,0
15682,0
15683,0
15684,0
15685,0
15686,0
15687,1
15688,1
15689,0
15690,1
15691,0
15692,1
15693,1
15694,0
15695,0
15696,0
15697,1
15698,0
15699,1
15700,1
15701,1
15702,0
15703,0
15704,0
15705,0
15706,0
15707,1
15708,1
15709,0
15710,0
15711,0
15712,1
15713,1
15714,1
15715,1
15716,1
15717,1
15718,0
15719,1
15720,0
15721,0
15722,0
15723,0
15724,0
15725,0
15726,1
15727,1
15728,0
15729,1
15730,1
15731,1
15732,1
15733,0
15734,1
15735,1
15736,0
15737,1
15738,0
15739,0
15740,0
15741,0
15742,1
15743,0
15744,1
15745,0
15746,1
15747,0
15748,1
15749,1
15750,1
15751,1
15752,0
15753,0
15754,0
15755,1
15756,0
15757,0
15758,1
15759,1
15760,0
15761,1
15762,0
15763,0
15764,1
15765,0
15766,0
15767,0
15768,0
15769,1
15770,1
15771,0
15772,1
15773,0
15774,1
15775,0
15776,1
15777,1
15778,1
15779,1
15780,0
15781,1
15782,0
15783,1
15784,1
15785,0
15786,0
15787,0
15788,0
15789,1
15790,1
15791,0
15792,0
15793,1
15794,1
15795,0
15796,0
15797,0
15798,1
15799,1
15800,1
15801,1
15802,0
15803,1
15804,0
15805,1
15806,1
15807,1
15808,0
15809,0
15810,0
15811,0
15812,1
15813,1
15814,1
15815,0
15816,0
15817,0
15818,1
15819,0
15820,0
15821,1
15822,0
15823,0
15824,1
15825,1
15826,1
15827,0
15828,0
15829,1
15830,0
15831,0
15832,1
15833,0
15834,0
15835,0
15836,1
15837,1
15838,1
15839,0
15840,0
15841,0
15842,0
15843,1
15844,0
15845,1
15846,1
15847,0
15848,0
15849,1
15850,0
15851,1
15852,0
15853,1
15854,1
15855,1
15856,1
15857,1
15858,0
15859,0
15860,1
15861,0
15862,0
15863,0
15864,0
15865,0
15866,0
15867,0
15868,0
15869,0
15870,1
15871,0
15872,0
15873,1
15874,0
15875,0
15876,1
15877,0
15878,0
15879,0
15880,0
15881,1
15882,0
15883,1
15884,1
15885,0
15886,0
15887,0
15888,1
15889,0
15890,0
15891,0
15892,0
15893,1
15894,0
15895,0
15896,1
15897,0
15898,1
15899,0
15900,0
15901,0
15902,1
15903,1
15904,0
15905,1
15906,0
15907,1
15908,0
15909,0
15910,0
15911,1
15912,0
15913,1
15914,0
15915,0
15916,0
15917,0
15918,0
15919,0
15920,0
15921,1
15922,1
15923,1
15924,1
15925,0
15926,1
15927,0
15928,0
15929,0
15930,0
15931,0
15932,0
15933,0
15934,0
15935,1
15936,0
15937,0
15938,1
15939,0
15940,0
15941,0
15942,0
15943,0
15944,1
15945,0
15946,0
15947,1
15948,1
15949,0
15950,1
15951,0
15952,0
15953,0
15954,1
15955,0
15956,0
15957,1
15958,0
15959,0
15960,0
15961,0
15962,0
15963,0
15964,0
15965,0
15966,0
15967,1
15968,0
15969,1
15970,1
15971,1
15972,0
15973,0
15974,0
15975,0
15976,1
15977,0
15978,0
15979,0
15980,1
15981,1
15982,1
15983,1
15984,0
15985,1
15986,0
15987,1
15988,0
15989,0
15990,1
15991,1
15992,0
15993,0
15994,1
15995,0
15996,1
15997,1
15998,0
15999,0
16000,1
16001,1
16002,0
16003,1
16004,1
16005,0
16006,0
16007,0
16008,1
16009,1
16010,0
16011,0
16012,1
16013,0
16014,0
16015,0
16016,0
16017,0
16018,0
16019,0
16020,0
16021,0
16022,0
16023,0
16024,1
16025,0
16026,1
16027,0
16028,0
16029,0
16030,1
16031,1
16032,1
16033,0
16034,0
16035,0
16036,0
16037,0
16038,0
16039,1
16040,1
16041,1
16042,0
16043,1
16044,1
16045,1
16046,0
16047,1
16048,0
16049,1
16050,0
16051,1
16052,1
16053,0
16054,0
16055,0
16056,1
16057,1
16058,1
16059,1
16060,1
16061,1
16062,1
16063,0
16064,0
16065,0
16066,1
16067,0
16068,0
16069,0
16070,1
16071,0
16072,0
16073,0
16074,0
16075,0
16076,0
16077,1
16078,1
16079,0
16080,1
16081,1
16082,0
16083,1
16084,1
16085,0
16086,1
16087,0
16088,1
16089,0
16090,1
16091,1
16092,1
16093,0
16094,1
16095,1
16096,0
16097,1
16098,0
16099,1
16100,0
16101,0
16102,0
16103,1
16104,0
16105,1
16106,1
16107,1
16108,1
16109,0
16110,1
16111,0
16112,0
16113,1
16114,0
16115,1
16116,1
16117,0
16118,0
16119,0
16120,0
16121,0
16122,1
16123,0
16124,1
16125,0
16126,1
16127,1
16128,0
16129,1
16130,0
16131,0
16132,0
16133,0
16134,0
16135,1
16136,1
16137,0
16138,1
16139,1
16140,0
16141,1
16142,1
16143,0
16144,1
16145,0
16146,0
16147,0
16148,0
16149,1
16150,1
16151,0
16152,1
16153,1
16154,0
16155,1
16156,0
16157,0
16158,1
16159,0
16160,0
16161,0
16162,1
16163,1
16164,0
16165,0
16166,0
16167,0
16168,0
16169,0
16170,0
16171,1
16172,0
16173,0
16174,0
16175,0
16176,0
16177,0
16178,0
16179,0
16180,1
16181,0
16182,1
16183,1
16184,0
16185,1
16186,1
16187,0
16188,1
16189,0
16190,0
16191,0
16192,1
16193,1
16194,1
16195,0
16196,0
16197,1
16198,1
16199,0
16200,1
16201,1
16202,0
16203,0
16204,0
16205,1
16206,0
16207,0
16208,0
16209,1
16210,0
16211,0
16212,1
16213,0
16214,0
16215,0
16216,1
16217,0
16218,0
16219,0
16220,1
16221,1
16222,0
16223,0
16224,1
16225,0
16226,0
16227,0
16228,1
16229,0
16230,0
16231,1
16232,0
16233,0
16234,0
16235,0
16236,0
16237,1
16238,0
16239,0
16240,1
16241,0
16242,1
16243,0
16244,0
16245,0
16246,0
16247,0
16248,0
16249,0
16250,1
16251,0
16252,0
16253,0
16254,1
16255,1
16256,1
16257,0
16258,0
16259,0
16260,0
16261,1
16262,1
16263,1
16264,0
16265,1
16266,0
16267,1
16268,1
16269,0
16270,1
16271,0
16272,0
16273,0
16274,0
16275,0
16276,0
16277,1
16278,1
16279,1
16280,0
16281,0
16282,1
16283,0
16284,0
16285,0
16286,0
16287,1
16288,1
16289,0
16290,0
16291,0
16292,0
16293,0
16294,0
16295,1
16296,1
16297,0
16298,0
16299,1
16300,0
16301,1
16302,0
16303,1
16304,1
16305,1
16306,0
16307,0
16308,0
16309,0
16310,1
16311,0
16312,0
16313,0
16314,0
16315,1
16316,1
16317,0
16318,1
16319,0
16320,1
16321,0
16322,0
16323,0
16324,0
16325,1
16326,0
16327,1
16328,0
16329,0
16330,1
16331,0
16332,1
16333,0
16334,0
16335,0
16336,0
16337,1
16338,0
16339,1
16340,1
16341,1
16342,0
16343,1
16344,0
16345,0
16346,1
16347,0
16348,1
16349,0
16350,0
16351,0
16352,1
16353,0
16354,0
16355,1
16356,1
16357,0
16358,0
16359,0
16360,0
16361,1
16362,1
16363,0
16364,0
16365,0
16366,1
16367,1
16368,0
16369,0
16370,0
16371,1
16372,0
16373,0
16374,0
16375,0
16376,0
16377,0
16378,0
16379,0
16380,0
16381,0
16382,0
16383,0
16384,1
16385,0
16386,0
16387,0
16388,0
16389,0
16390,0
16391,0
16392,0
16393,0
16394,1
16395,0
16396,0
16397,1
16398,0
16399,0
16400,0
16401,0
16402,1
16403,0
16404,0
16405,0
16406,1
16407,1
16408,0
16409,1
16410,0
16411,1
16412,1
16413,1
16414,1
16415,0
16416,1
16417,1
16418,0
16419,1
16420,0
16421,0
16422,1
16423,0
16424,1
16425,0
16426,1
16427,1
16428,0
16429,0
16430,0
16431,0
16432,0
16433,1
16434,0
16435,1
16436,1
16437,0
16438,1
16439,0
16440,0
16441,0
16442,0
16443,1
16444,1
16445,1
16446,0
16447,0
16448,0
16449,1
16450,1
16451,1
16452,0
16453,0
16454,1
16455,1
16456,0
16457,1
16458,0
16459,1
16460,1
16461,1
16462,1
16463,1
16464,0
16465,0
16466,1
16467,0
16468,0
16469,1
16470,0
16471,0
16472,0
16473,1
16474,0
16475,1
16476,0
16477,0
16478,1
16479,1
16480,1
16481,1
16482,1
16483,0
16484,1
16485,0
16486,1
16487,0
16488,0
16489,1
16490,0
16491,0
16492,1
16493,1
16494,1
16495,0
16496,1
16497,0
16498,1
16499,0
16500,1
16501,1
16502,0
16503,0
16504,0
16505,1
16506,0
16507,0
16508,0
16509,1
16510,1
16511,0
16512,1
16513,0
16514,1
16515,0
16516,1
16517,0
16518,0
16519,0
16520,0
16521,0
16522,1
16523,1
16524,1
16525,1
16526,1
16527,1
16528,1
16529,1
16530,1
16531,0
16532,0
16533,0
16534,0
16535,1
16536,0
16537,1
16538,0
16539,1
16540,0
16541,1
16542,0
16543,0
16544,0
16545,1
16546,0
16547,1
16548,0
16549,0
16550,0
16551,0
16552,1
16553,1
16554,0
16555,0
16556,1
16557,1
16558,1
16559,0
16560,1
16561,0
16562,1
16563,0
16564,0
